cover001.png,Michael Crichton,Next
cover002.png,Michael Crichton,Prey
cover003.png,Michael Crichton,Jurassic Park
cover004.png,Michael Crichton,State of Fear
cover005.png,Michael Crichton,Timeline
cover006.png,Preston and Child,Relic
cover007.png,Preston and Child,The Cabinent of Curiosities
cover008.png,Preston and Child,Still Life With Crows
cover009.png,Bret Easton Ellis,The Informers
cover010.png,Bret Easton Ellis,Lunar Park
cover011.png,Bret Easton Ellis,Imperial Bedrooms,
cover012.png,Charles Bukowski,Post Office
cover013.png,Charles Bukowski,Pup
cover014.png,Charles Bukowski,Factotum
cover015.png,Preston and Child,The Book of the Dead
cover016.png,Preston and Child,Dance of Death
cover017.png,George Orwell,1984
cover018.png,Stephen Hawking,A Brief History of Time
cover019.png,Dave Eggers,A Heartbreaking Work of Staggering Genius
cover020.png,Ishmael Beah,A Long Way Gone: Memoirs of a Boy Soldier
cover021.png,Madeleine L'Engle,A Wrinkle in Time
cover022.png,Alice Munro,Selected Stories
cover023.png,Lewis Caroll,Alice's Adventures in Wonderland & Through the Looking-Glass
cover024.png,Ann Patchett,Bel Canto (P.S.)
cover025.png,Joseph Heller,Catch-22
cover026.png,Roald Dahl,Charlie and the Chocolate Factory
cover027.png,E.B. White,Charlotte's Web
cover028.png,Abraham Verghese,Cutting for Stone
cover029.png,Frank Herbert,Dune
cover030.png,Ray Bradbury,Fahrenheit 451
cover031.png,Hunter S. Thompson,Fear and Loathing in Las Vegas
cover032.png,Gillian Flynn,Gone Girl
cover033.png,Charles Dickens,Great Expectations
cover034.png,J.K. Rowling,Harry Potter and the Sorcerer's Stone
cover035.png,Truman Capote,In Cold Blood
cover036.png,Ralph Ellison,Invisible Man
cover037.png,Laura Ingalls Wilder,Little House on the Prairie
cover038.png,Vladimir Nabokov,Lolita
cover039.png,Gabriel Garcia Marquez,Love in the Time of Cholera
cover040.png,Viktor E. Frankl,Man's Search for Meaning
cover041.png,Jeffrey Eugenides,Middlesex
cover042.png,Michael Lewis,Moneyball: The Art of Winning an Unfair Game
cover043.png,Jack Kerouac,On the Road
cover044.png,Rachel Carson,Silent Spring
cover045.png,Kurt Vonnegut,Slaughterhouse-Five
cover046.png,Edith Wharton,The Age of Innocence
cover047.png,J. D. Salinger,The Catcher in the Rye
cover048.png,Anne Frank,The Diary of a Young Girl
cover049.png,F. Scott Fitzgerald,The Great Gatsby
cover050.png,A. A. Milne,The House at Pooh Corner